0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-4.482475,-1.2482343,4.1106195,-0.07281993,0.81990075,-0.14469662,1.4298724,-0.21525232,-0.2845297,-0.300724,-2.4066236,0.56977767,-4.0,-1.3,4.0
-4.452101,-1.2521161,4.1046357,-0.07857542,0.77113545,-0.13310571,1.6061649,-0.17278883,-0.31225812,-0.27498367,-2.4678433,0.5906337,-4.0,-1.3,4.0
-4.418284,-1.2551425,4.0981894,-0.08379466,0.72125703,-0.121024914,1.7740663,-0.12980491,-0.33089414,-0.24601546,-2.518546,0.61806875,-4.0,-1.3,4.0
-4.3812003,-1.2573085,4.0914574,-0.088383354,0.6704376,-0.1083737,1.9326783,-0.08684553,-0.3409106,-0.21196516,-2.5623653,0.6471051,-4.0,-1.3,4.0
-4.3410425,-1.2586199,4.084609,-0.09223899,0.6188024,-0.09516063,2.081443,-0.04442384,-0.34254804,-0.17262793,-2.6000185,0.6732688,-4.0,-1.3,4.0
-4.298012,-1.2590926,4.0778093,-0.095250815,0.56647384,-0.081478566,2.2198594,-0.0030684657,-0.33607545,-0.12770817,-2.631728,0.6944277,-4.0,-1.3,4.0
-4.252321,-1.2587534,4.0712175,-0.097311154,0.5135819,-0.06740034,2.3474178,0.03666958,-0.32188115,-0.07726237,-2.656091,0.7129023,-4.0,-1.3,4.0
-4.204191,-1.2576404,4.0649824,-0.09830633,0.4602763,-0.052990165,2.4636388,0.07422392,-0.3004481,-0.02164594,-2.6735318,0.72716886,-4.0,-1.3,4.0
-4.1538534,-1.2558026,4.059245,-0.09816388,0.40667707,-0.038356923,2.5681586,0.1090541,-0.2721891,0.03590483,-2.6846752,0.73514265,-4.0,-1.3,4.0
-4.1015453,-1.2532998,4.0541368,-0.096878454,0.3529488,-0.023622438,2.6606174,0.1406374,-0.23764345,0.0923437,-2.68695,0.7373548,-4.0,-1.3,4.0
-4.0475116,-1.250202,4.0497766,-0.09448688,0.29923245,-0.0088995565,2.7406738,0.16848816,-0.19751753,0.14606194,-2.6839657,0.7340181,-4.0,-1.3,4.0
-3.9920032,-1.246588,4.046268,-0.09106902,0.24561407,0.005707901,2.8080387,0.19218484,-0.15260828,0.19499412,-2.6774335,0.7260372,-4.0,-1.3,4.0
-3.9352763,-1.2425445,4.043699,-0.08671433,0.19214433,0.020112999,2.8624961,0.21138929,-0.10370303,0.23974366,-2.6691868,0.7137642,-4.0,-1.3,4.0
-3.8775907,-1.2381642,4.042141,-0.08150984,0.13886335,0.03423501,2.9038825,0.22584063,-0.051607944,0.28025335,-2.6583228,0.6978463,-4.0,-1.3,4.0
-3.8192086,-1.2335439,4.0416503,-0.07551652,0.08583559,0.047997244,2.932089,0.23535162,0.0028645657,0.3187258,-2.6438394,0.67744625,-4.0,-1.3,4.0
